
Sinai P.,4.0,        8/30/2019    ,"My fiancé and I had a layover in dallas during bad weather and all the flights got canceled and delayed. After attempting to rebook my flight and my fiancé's and spending 12 hours in DFW waiting on a fight and dealing with rude people that work at the airport we decided to give it one last shot and got in like to rebook our flight.We had such a great experience thanks to KIARA from ENboy she was absolutely amazing, patient and helpful. She tried to rebook me and my fiancé together in the same flight and not just tried but actually managed to get us on the same flight. Well I'm an earlier flight which was even better. Only reason why I'm giving it 4 stars and not 5 is because we encountered rude agents in the first 3 attempts of us trying to rebook our flight."
Ashley R.,1.0,        8/14/2019    ,"ABSOLUTE WORST AIRLINES. It took me 27 hours to fly to San Diego from Dallas. I was supposed to fly to Santa Barbara. After being delayed and getting on plane, they then decided flight was canceled and I would have to go to Phoenix and spend the night. They were not helpful in even trying to pay for my hotel in Phoenix. Then, fly to San Diego and was delayed an entire day sitting at the Phoenix Airport til I was a day late to my own sister's bridal party. NOW, I am at DFW WAITING to find out when time my flight from Santa Barbara leaves. It was delayed 2 hours, we boarded and sat on plane for another 2 hours, then we were told that we were deboardinf the aircraft because there were still engineers working on it when we boarded and actually should not have boarded. They just deboarded everyone, had us walk to the other side of the airport to a different gate and are now standing in line hoping we board although we've been told that no one including staff knows when we are leaving. American Airlines is the absolute worst. The fact that this is a common occurrence is insane. Now they are saying we may be flying to Phoenix. I am supposed to already have been in Santa Barbara right now and giving a speech!!! Flight 5962  NEVER TAKE AMERICAN AIRLINES. Even if you think you're saving, you end up paying a way bigger price than other original options both time wise and money wise."
Casey J.,1.0,        7/20/2019    ,"American Airlines DFW Cargo DOES NOT CARE ABOUT ANIMALS!We moved from Hawaii to Dallas and had to leave our 2 dogs with family until we found a place to live. Once we were ready to fly the dogs over we researched everything. We called AA Cargo several times, we looked online, and my family even drove down the HNL Cargo to talk to the employees. Our understanding was this:1. The dogs get dropped off at cargo. An envelope is taped to the top of the crate with the paperwork, their leashes, and food.2. They stay in an air-conditioned office type area until they are ready to board the plane.3. They board the plane and fly to DFW. (A direct flight)4. They are first off the plane. Someone gives them food, water, and takes them out to relieve themselves.5. They arrive to cargo about 45 minutes after the flight lands. We pick them up and go home.Steps 1-3 were handled according, but steps 4 & 5 were seriously botched. The flight landed at 8:30 AM, we got there at 8:50 AM. The cargo rep told us that the dogs would not arrive for 2 hours. When asked why he said ""they have to break everything down and bring it all at once."" I explained that we were told 45 minutes to which he replied ""well if you told that, then maybe it will be"". Since we were early we waited. Come 930 AM I was upset. I asked where the dogs were and the rep said he didn't know. He told us since there are hundreds of workers he couldnt call anyone to find out where the dogs were (ARE YOU KIDDING ME?!?!). We didn't accept that so he spoke to his supervisor who spoke to someone else who spoke to someone else and the rep said the dogs would be there ""any moment"". Then 5 minutes later we were told THEY WERENT TAKEN OFF THE PLANE YET and a truck was on its way to get them. Finally they arrived at about 10:15 AM.American Airlines cargo does not care about live animals. The package taped to their crates were UNTOUCHED. No one fed them, gave them fresh water, or took them out to relieve themselves. They spent nearly 12 hours crated. I dare these people to endure a high stress environment and be forced to hold their bodily functions for 12 hours!!! One of the dogs had diarrhea stains on the blanket and both blankets were wet from the water splashing around during transport. This is BEYOND UNACCEPTABLE!!!  Also, the weather was heating up (because it's JULY IN TEXAS) and that's why they were supposed to be taken off the plane first. There are strict temperature regulations which they did NOT adhere to! My question to American Airlines is... Why do you strictly enforce all of the requirements and regulations in order to accept my business, but ignore them after you took my money? We had to spend money and time preparing the dogs for this flight, which we all know is stressful enough on an animal. But you treated them like a plastic wrapped package. American Airlines Cargo is heartless and is dangerous for live animals because they dont care."
Evan L.,1.0,        5/12/2019    ,"Absolutely sick of American Airlines. Because their staff couldn't board their plane quick enough, 10 other passengers and I got kicked off of our flight and left at the gate. I was number 6 in a line of 7 or 8 to board, and the ticket counter said, ""just take the next 5."" What do you mean, take the next 5?? Everyone paid for a plane ticket, and because American Airlines couldn't do their job correctly, we get stuck in the airport? Then the ticket counter has the nerve to give me a ticket for 6:00am in the morning and said ""see you tomorrow"" with no aim to resolve the conflict. Then, 40+ other American Airlines passengers (from other flights I am assuming got screwed out of their flights) and I had to wait an hour in line at the Customer Service desk in order to find out what American is going to do to make this right. Instead of taking care of my hotel, or even compensating for their error. They give me a discount coupon on my hotel, which only covered $20 of the $70, which is an even bigger kick in the throat since the Customer Service desk said it would cover at least half. I am absolutely done with American Airlines! If I have to pay $100 extra dollars to get any other airline, I wouldn't even hesitate.American Airlines is the absolute worst airline in the country. They have no respect for their customers, or their customer's money. I can guarantee you that everyone I was in line with feels just as dissatisfied."
Lori W.,1.0,        9/7/2019    ,"Recently had our yearly vacation to Cayman Islands. We travel with a two-year-old and a three-year-old. We were not allowed to take their milk on board, so once we were seated on the plane we asked the flight attendants for milk. The youngest was crying so we wanted to try to quiet him. We were told they did not have milk. So after waiting a while, we ask again and then we were told milk was only available for first class. One particular flight attendant was extremely rude and unfriendly, and she did not have on a name tag. She was consistently and continuously rude throughout the flight. We never got any milk! I think we have made the decision not to use AA in the future since we had problems with them from Security before boarding, until flight had landed in Cayman. The staff on the flight back was more accommodating."
